2025-12-06 23:21:31 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:21:31] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:21:31 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:21:31 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:21:31] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:21:33 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:21:33 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:21:33] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:45 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:45] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:45 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:45 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:45] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:46 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:46 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:46] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:46 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:46 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:46] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:46 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:46 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:46] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:47 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:47 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:47] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:47 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:47 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:47] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:48 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:48 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:48] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:48 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:48 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:48] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:49 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:49 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:49] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:49 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:49 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:49] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:49 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:49 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:49] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:50 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:50 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:50] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:50 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:50] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:23:50 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:23:50 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:23:50] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:25:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:25:52] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:25:52 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:25:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:25:52] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:25:52 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:25:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:25:52] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:25:53 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:25:53 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:25:53] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:27:55 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:27:55] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:27:55 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:27:55 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:27:55] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:27:55 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:27:55 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:27:55] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:27:55 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:27:55 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:27:55] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:27:55 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:27:55 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:27:55] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:27:56 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:27:56 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:27:56] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:27:56 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:27:56 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:27:56] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:28:12 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:28:12] "[36mGET / HTTP/1.1[0m" 304 -
2025-12-06 23:28:12 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:28:12] "GET /js/main_temp.js HTTP/1.1" 200 -
2025-12-06 23:28:15 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:28:15] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:28:15 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:28:15 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:28:15] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:30:14 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.102 - - [06/Dec/2025 23:30:14] "GET / HTTP/1.1" 200 -
2025-12-06 23:30:14 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.102 - - [06/Dec/2025 23:30:14] "GET /js/main_temp.js HTTP/1.1" 200 -
2025-12-06 23:30:16 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.102 - - [06/Dec/2025 23:30:16] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-12-06 23:32:44 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:44] "GET / HTTP/1.1" 200 -
2025-12-06 23:32:44 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:44] "GET /js/main_temp.js HTTP/1.1" 200 -
2025-12-06 23:32:44 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:44] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-12-06 23:32:49 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:49] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:49 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:49 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:49] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:50 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:50 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:50] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:51 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:51 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:51] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:51 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:51 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:51] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:51 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:51 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:51] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:51 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:51 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:51] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:52 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:52] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:52 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:52] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:52 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:32:52 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:32:52] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:32:52 | root       | INFO     |app.py:57 | Translate successfully
